x,y,z
0,0,206
1,0,90
2,0,90
3,0,92
4,0,71
5,0,190
6,0,74
0,1,208
1,1,83
2,1,90
3,1,89
4,1,76
5,1,188
6,1,80
0,2,207
1,2,92
2,2,88
3,2,85
4,2,72
5,2,190
6,2,71
0,3,201
1,3,92
2,3,82
3,3,84
4,3,71
5,3,185
6,3,73
0,4,206
1,4,89
2,4,85
3,4,83
4,4,81
5,4,189
6,4,72
0,5,211
1,5,88
2,5,84
3,5,85
4,5,71
5,5,190
6,5,71
0,6,201
1,6,84
2,6,86
3,6,85
4,6,74
5,6,186
6,6,78
0,7,209
1,7,85
2,7,88
3,7,92
4,7,75
5,7,182
6,7,72
0,8,208
1,8,85
2,8,88
3,8,88
4,8,77
5,8,190
6,8,82
0,9,205
1,9,85
2,9,90
3,9,90
4,9,75
5,9,192
6,9,82
0,10,211
1,10,90
2,10,81
3,10,85
4,10,74
5,10,182
6,10,79
0,11,202
1,11,84
2,11,86
3,11,90
4,11,74
5,11,185
6,11,82
0,0,212
1,0,81
2,0,84
3,0,83
4,0,75
5,0,191
6,0,78
0,1,203
1,1,88
2,1,88
3,1,84
4,1,78
5,1,183
6,1,81
0,2,207
1,2,92
2,2,81
3,2,85
4,2,81
5,2,190
6,2,74
0,3,208
1,3,91
2,3,91
3,3,89
4,3,74
5,3,181
6,3,73
0,4,210
1,4,85
2,4,81
3,4,81
4,4,73
5,4,189
6,4,80
0,5,207
1,5,87
2,5,91
3,5,87
4,5,80
5,5,189
6,5,77
0,6,203
1,6,89
2,6,83
3,6,89
4,6,72
5,6,188
6,6,82
0,7,211
1,7,82
2,7,84
3,7,88
4,7,73
5,7,182
6,7,76
0,8,203
1,8,86
2,8,83
3,8,82
4,8,80
5,8,186
6,8,80
0,9,208
1,9,84
2,9,82
3,9,92
4,9,78
5,9,191
6,9,71
0,10,205
1,10,84
2,10,85
3,10,84
4,10,71
5,10,181
6,10,71
0,11,204
1,11,88
2,11,87
3,11,88
4,11,77
5,11,190
6,11,77
0,0,208
1,0,90
2,0,89
3,0,92
4,0,74
5,0,189
6,0,72
0,1,205
1,1,87
2,1,92
3,1,87
4,1,80
5,1,185
6,1,80
0,2,212
1,2,88
2,2,89
3,2,81
4,2,73
5,2,181
6,2,77
0,3,209
1,3,83
2,3,87
3,3,81
4,3,75
5,3,186
6,3,76
0,4,205
1,4,81
2,4,85
